date,model,status,pp512,tg128
2026-08-20,qwen3.5-4b,SKIPPED:gpu_busy(5065MB free),,
2026-08-20,ornith-1.5-9b,SKIPPED:gpu_busy(5065MB free),,
2026-08-20,ornith-1.5-35b-a3b,SKIPPED:gpu_busy(5065MB free),,
2026-08-21,qwen3.5-4b,SKIPPED:gpu_busy(610MB free),,
2026-08-21,ornith-1.5-9b,SKIPPED:gpu_busy(610MB free),,
2026-08-21,ornith-1.5-35b-a3b,SKIPPED:gpu_busy(610MB free),,
2026-08-22,qwen3.5-4b,SKIPPED:gpu_busy(844MB free),,
2026-08-22,ornith-1.5-9b,SKIPPED:gpu_busy(844MB free),,
2026-08-22,ornith-1.5-35b-a3b,SKIPPED:gpu_busy(844MB free),,
2026-08-23,qwen3.5-4b,OK,3734.15,67.08
2026-08-23,ornith-1.5-9b,OK,2485.06,57.12
2026-08-23,ornith-1.5-35b-a3b,OK,141.61,25.88
2026-08-24,qwen3.5-4b,SKIPPED:gpu_busy(4464MB free),,
2026-08-24,ornith-1.5-9b,SKIPPED:gpu_busy(4464MB free),,
2026-08-24,ornith-1.5-35b-a3b,SKIPPED:gpu_busy(4464MB free),,
2026-08-25,qwen3.5-4b,SKIPPED:gpu_busy(2703MB free),,
2026-08-25,ornith-1.5-9b,SKIPPED:gpu_busy(2703MB free),,
2026-08-25,ornith-1.5-35b-a3b,SKIPPED:gpu_busy(2703MB free),,
2026-08-26,qwen3.5-4b,SKIPPED:gpu_busy(3363MB free),,
2026-08-26,ornith-1.5-9b,SKIPPED:gpu_busy(3363MB free),,
2026-08-26,ornith-1.5-35b-a3b,SKIPPED:gpu_busy(3363MB free),,
2026-08-27,qwen3.5-4b,SKIPPED:gpu_busy(5310MB free),,
2026-08-27,ornith-1.5-9b,SKIPPED:gpu_busy(5310MB free),,
2026-08-27,ornith-1.5-35b-a3b,SKIPPED:gpu_busy(5310MB free),,
2026-08-28,qwen3.5-4b,SKIPPED:gpu_busy(4802MB free),,
2026-08-28,ornith-1.5-9b,SKIPPED:gpu_busy(4802MB free),,
2026-08-28,ornith-1.5-35b-a3b,SKIPPED:gpu_busy(4802MB free),,
2026-08-29,qwen3.5-4b,OK,1843.73,62.03
2026-08-29,ornith-1.5-9b,OK,1367.79,12.48
2026-08-29,ornith-1.5-35b-a3b,OK,81.16,12.3
2026-08-31,qwen3.5-4b,SKIPPED:gpu_busy(1693MB free),,
2026-08-31,ornith-1.5-9b,SKIPPED:gpu_busy(1693MB free),,
2026-08-31,ornith-1.5-35b-a3b,SKIPPED:gpu_busy(1693MB free),,
2026-09-01,qwen3.5-4b,SKIPPED:gpu_busy(-1MB free),,
2026-09-01,ornith-1.5-9b,SKIPPED:gpu_busy(-1MB free),,
2026-09-01,ornith-1.5-35b-a3b,SKIPPED:gpu_busy(-1MB free),,
2026-09-03,qwen3.5-4b,SKIPPED:gpu_busy(3706MB free),,
2026-09-03,ornith-1.5-9b,SKIPPED:gpu_busy(3706MB free),,
2026-09-03,ornith-1.5-35b-a3b,SKIPPED:gpu_busy(3706MB free),,
2026-09-04,qwen3.5-4b,OK,3953.65,115.72
2026-09-04,ornith-1.5-9b,OK,1595.89,33.74
2026-09-04,ornith-1.5-35b-a3b,OK,116.93,15.76
2026-09-05,qwen3.5-4b,SKIPPED:gpu_busy(4713MB free),,
2026-09-05,ornith-1.5-9b,SKIPPED:gpu_busy(4713MB free),,
2026-09-05,ornith-1.5-35b-a3b,SKIPPED:gpu_busy(4713MB free),,
2026-09-06,qwen3.5-4b,SKIPPED:gpu_busy(1417MB free),,
2026-09-06,ornith-1.5-9b,SKIPPED:gpu_busy(1417MB free),,
2026-09-06,ornith-1.5-35b-a3b,SKIPPED:gpu_busy(1417MB free),,
2026-09-07,qwen3.5-4b,SKIPPED:gpu_busy(4729MB free),,
2026-09-07,ornith-1.5-9b,SKIPPED:gpu_busy(4729MB free),,
2026-09-07,ornith-1.5-35b-a3b,SKIPPED:gpu_busy(4729MB free),,
2026-09-08,qwen3.5-4b,OK,3491.24,109.85
2026-09-08,ornith-1.5-9b,OK,2345.92,71.49
2026-09-08,ornith-1.5-35b-a3b,OK,68.62,9.5
2026-09-09,qwen3.5-4b,OK,3221.24,94.36
2026-09-09,ornith-1.5-9b,OK,2148.48,59.73
2026-09-09,ornith-1.5-35b-a3b,OK,69.54,11.97
2026-09-10,qwen3.5-4b,SKIPPED:gpu_busy(5522MB free),,
2026-09-10,ornith-1.5-9b,SKIPPED:gpu_busy(5522MB free),,
2026-09-10,ornith-1.5-35b-a3b,SKIPPED:gpu_busy(5522MB free),,
2026-09-11,qwen3.5-4b,SKIPPED:gpu_busy(6747MB free),,
2026-09-11,ornith-1.5-9b,SKIPPED:gpu_busy(6747MB free),,
2026-09-11,ornith-1.5-35b-a3b,SKIPPED:gpu_busy(6747MB free),,
2026-09-12,qwen3.5-4b,SKIPPED:gpu_busy(6816MB free),,
2026-09-12,ornith-1.5-9b,SKIPPED:gpu_busy(6816MB free),,
2026-09-12,ornith-1.5-35b-a3b,SKIPPED:gpu_busy(6816MB free),,
